nativity,doy,phenophase,Species
native,123,Leaf_Observed,R. allegheniensis
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,R. cathartica
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
invasive,131,Leaf_Observed,L. maackii
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
native,131,Leaf_Observed,R. allegheniensis
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,R. cathartica
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
invasive,139,Leaf_Observed,L. maackii
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
native,139,Leaf_Observed,R. allegheniensis
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,R. cathartica
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
invasive,144,Leaf_Observed,L. maackii
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
native,144,Leaf_Observed,R. allegheniensis
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,R. cathartica
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
invasive,150,Leaf_Observed,L. maackii
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
native,150,Leaf_Observed,R. allegheniensis
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,R. cathartica
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
invasive,159,Leaf_Observed,L. maackii
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
native,159,Leaf_Observed,R. allegheniensis
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,R. cathartica
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
invasive,163,Leaf_Observed,L. maackii
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
native,163,Leaf_Observed,R. allegheniensis
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,R. cathartica
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
invasive,171,Leaf_Observed,L. maackii
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
native,171,Leaf_Observed,R. allegheniensis
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,R. cathartica
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
invasive,178,Leaf_Observed,L. maackii
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
native,178,Leaf_Observed,R. allegheniensis
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,R. cathartica
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
invasive,186,Leaf_Observed,L. maackii
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
native,186,Leaf_Observed,R. allegheniensis
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,R. cathartica
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
invasive,194,Leaf_Observed,L. maackii
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
native,194,Leaf_Observed,R. allegheniensis
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,R. cathartica
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
invasive,199,Leaf_Observed,L. maackii
native,199,Leaf_Observed,R. allegheniensis
native,199,Leaf_Observed,R. allegheniensis
native,199,Leaf_Observed,R. allegheniensis
native,199,Leaf_Observed,R. allegheniensis
native,199,Leaf_Observed,R. allegheniensis
native,199,Leaf_Observed,R. allegheniensis
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,R. cathartica
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
invasive,206,Leaf_Observed,L. maackii
native,206,Leaf_Observed,R. allegheniensis
native,206,Leaf_Observed,R. allegheniensis
native,206,Leaf_Observed,R. allegheniensis
native,206,Leaf_Observed,R. allegheniensis
native,206,Leaf_Observed,R. allegheniensis
native,206,Leaf_Observed,R. allegheniensis
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,R. cathartica
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
invasive,213,Leaf_Observed,L. maackii
native,213,Leaf_Observed,R. allegheniensis
native,213,Leaf_Observed,R. allegheniensis
native,213,Leaf_Observed,R. allegheniensis
native,213,Leaf_Observed,R. allegheniensis
native,213,Leaf_Observed,R. allegheniensis
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,R. cathartica
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
invasive,221,Leaf_Observed,L. maackii
native,221,Leaf_Observed,R. allegheniensis
native,221,Leaf_Observed,R. allegheniensis
native,221,Leaf_Observed,R. allegheniensis
native,221,Leaf_Observed,R. allegheniensis
native,221,Leaf_Observed,R. allegheniensis
native,221,Leaf_Observed,R. allegheniensis
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,R. cathartica
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
invasive,227,Leaf_Observed,L. maackii
native,227,Leaf_Observed,R. allegheniensis
native,227,Leaf_Observed,R. allegheniensis
native,227,Leaf_Observed,R. allegheniensis
native,227,Leaf_Observed,R. allegheniensis
native,227,Leaf_Observed,R. allegheniensis
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,R. cathartica
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
invasive,235,Leaf_Observed,L. maackii
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
native,235,Leaf_Observed,R. allegheniensis
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,R. cathartica
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
invasive,242,Leaf_Observed,L. maackii
native,242,Leaf_Observed,R. allegheniensis
native,242,Leaf_Observed,R. allegheniensis
native,242,Leaf_Observed,R. allegheniensis
native,242,Leaf_Observed,R. allegheniensis
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,R. cathartica
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
invasive,249,Leaf_Observed,L. maackii
native,249,Leaf_Observed,R. allegheniensis
native,249,Leaf_Observed,R. allegheniensis
native,249,Leaf_Observed,R. allegheniensis
native,249,Leaf_Observed,R. allegheniensis
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,R. cathartica
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
invasive,256,Leaf_Observed,L. maackii
native,256,Leaf_Observed,R. allegheniensis
invasive,263,Leaf_Observed,R. cathartica
invasive,263,Leaf_Observed,R. cathartica
