site,date_observed,genus,species,id,observer,date_entered,data_entry,data_entered_NPN,leaf_breaking_bud_observed,leaf_breaking_bud_intensity,leaf_observed,leaf_intensity,leaf_increasing_size_observed,leaf_increasing_size_intensity,leaf_color_observed,leaf_color_intensity,leaf_falling_observed,leaf_falling_intensity,flower_buds_observed,flower_buds_intensity,flower_open_observed,flower_open_intensity,flower_pollen_release_observed,flower_pollen_release_intensity,fruit_observed,fruit_intensity,fruit_ripe_observed,fruit_ripe_intensity,fruit_drop_observed,fruit_drop_intensity,nativity,doy
King's Grove,3/21/2017,Lonicera,maackii,IH1,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH2,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH3,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH4,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH5,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH6,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH7,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH8,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH9,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Lonicera,maackii,IH10,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/29/2017,Rhamnus,cathartica,IB1,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-Mar,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB2,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB3,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-Mar,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB4,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,1001-10001,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB5,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB6,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB7,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB8,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB9,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Rhamnus,cathartica,IB10,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,1001-10000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH1,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH2,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-Mar,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH3,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-Mar,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH4,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH5,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH6,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH7,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH8,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH9,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,3/29/2017,Lonicera,maackii,IH10,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,88
King's Grove,4/6/2017,Rhamnus,cathartica,IB1,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB2,Rollinson,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB3,Rollinson,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB4,Rollinson,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,24-May,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB5,Rollinson,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB6,Rollinson,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,.1-4.9,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB7,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB8,Rollinson,4/12/2017,Lucy Liu,n,Y,1001-10000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB9,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Rhamnus,cathartica,IB10,Rollinson,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH1,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-4.9,Y,25%,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH2,Rollinson,4/12/2017,Lucy Liu,n,Y,10-Mar,Y,24-May,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH3,Rollinson,4/12/2017,Lucy Liu,n,N,0,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH4,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH5,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH6,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH7,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH8,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH9,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/6/2017,Lonicera,maackii,IH10,Rollinson,4/12/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,96
King's Grove,4/12/2017,Rhamnus,cathartica,IB1,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB2,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB3,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB4,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB5,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB6,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB7,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,101-1000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB8,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB9,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Rhamnus,cathartica,IB10,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,1001-10000,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH1,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH2,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH3,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,10-Mar,Y,,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH4,Liu/Dhyani,4/12/2017,Lucy Liu,n,Y,11-100,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH5,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH6,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH7,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH8,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH9,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/12/2017,Lonicera,maackii,IH10,Liu/Dhyani,4/12/2017,Lucy Liu,n,N,0,Y,,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,102
King's Grove,4/19/2017,Rhamnus,cathartica,IB1,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,11-100,Y,.1-4.9,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,109
King's Grove,4/19/2017,Rhamnus,cathartica,IB5,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-5,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,109
King's Grove,4/19/2017,Rhamnus,cathartica,IB6,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,0,Y,25-49,Y,.1-5,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,109
King's Grove,4/19/2017,Rhamnus,cathartica,IB7,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,.1-5,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,109
King's Grove,4/19/2017,Lonicera,maackii,IH4,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,0,Y,25-49,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR1,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,10-Mar,Y,24-May,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR2,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,11-100,Y,.1-5,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR3,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,0,Y,24-May,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR4,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,0,Y,24-May,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR5,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,10-Mar,Y,.1-5,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR6,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,10-Mar,Y,24-May,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR7,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,10-Mar,Y,25-49,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR8,Liu/Dhyani,6/14/2017,Lucy Liu,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR9,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,,Y,24-May,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/19/2017,Rubus,allegheniensis,NR10,Liu/Dhyani,6/14/2017,Lucy Liu,n,N,,Y,25-49,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,109
King's Grove,4/25/2017,Rhamnus,cathartica,IB1,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB2,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,24-May,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB3,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB4,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,75-94,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB5,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB6,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,25-49,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB7,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,25-49,Y,.1-4.9,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB8,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,50-74,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB9,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,75-94,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rhamnus,cathartica,IB10,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,50-74,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH1,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,50-74,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH2,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,75-94,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH3,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,75-94,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH4,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,50-74,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH5,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,50-74,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH6,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,50-74,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH7,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,50-74,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH8,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,50-74,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH9,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,50-74,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Lonicera,maackii,IH10,Duckett,6/14/2017,Lucy Liu,n,Y,101-1000,Y,50-74,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR1,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR2,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,.1-4.9,Y,25-49,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR3,Duckett,6/14/2017,Lucy Liu,n,Y,10-Mar,Y,24-May,Y,50-74,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR4,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,24-May,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR5,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,.1-4.9,Y,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
King's Grove,4/25/2017,Rubus,allegheniensis,NR6,Duckett,6/14/2017,Lucy Liu,n,Y,11-100,Y,25-49,Y,24-May,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,native,115
